candidate_id,mpid,house,state,constituency_name,constituency_number,full_name,photo_url,party,gender,birthdate,occupation,education,nationality,religion,ward_village,father,father_nationality,father_religion,mother,mother_nationality,mother_religion,votes
999cdd39d09e47851fc05a58b570202c,,အမျိုးသားလွှတ်တော်,ဧရာဝတီ,ဧရာဝတီ,4,ဦးစောထွန်း,https://storage.googleapis.com/staticassets/candidate-photos/Scan__C_0536.jpg,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,12/6/1934,ပါတီဗဟိုကော်မတီဝင်(တစည)၊ အ-ထ-က ကျောင်းအုပ်(ငြိမ်း),ဝိဇ္ဇာဘွဲ့နှင့် ပညာရေးဒီပလိုမာ,ဗမာ,ဗုဒ္ဓ,ကင်းရပ်ကွက်,ဦးဘိုးမြ(ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်ဖွားမြ (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,-1
a5c439e721ea34ba5b4e84927d3c87eb,,အမျိုးသားလွှတ်တော်,ရခိုင်,ရခိုင်,1,ဦးနီအောင်ကျော်,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150901_082.jpg,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,10/5/1935,ဌာနခွဲ စာရေးကြီး ( ငြိမ်း ) ၊ မြန်မာ့ဆက်သွယ်ရေးလုပ်ငန်း ၊ စစ်တွေမြို့,တက္ကသိုလ်၀င်တန်းအောင် (  ၁၉၅၉ ) ဝိဇ္ဇာ ( က ),ရခိုင်,ဗုဒ္ဓ,ပြည်တော်သာရပ်ကွက်,ဦးမောင်လှ(ကွယ်လွန်),ရခိုင်,ဗုဒ္ဓ,ဒေါ်အောင်ညိုမ(ကွယ်လွန်),ရခိုင်,ဗုဒ္ဓ,-1
4f649b5901cc28d0cd4a1c6ecf06948e,,အမျိုးသားလွှတ်တော်,ရခိုင်,ရခိုင်,6,ဦးမောင်ကျော်ဇံ,https://storage.googleapis.com/staticassets/candidate-photos/Scan_D_20150901_0058.jpg,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,12/15/1935,ကျောင်းဆရာ (ငြိမ်း),တက္ကသိုလ်ဝင်တန်း,ရခိုင်,ဗုဒ္ဓ,မင်းဂံအကွက် (၁၂),ဦးအောင်ကျော်ဇော (ကွယ်လွန်),ရခိုင်,ဗုဒ္ဓ,ဒေါ်စံဦးဖြူ     (ကွယ်လွန်),ရခိုင်,ဗုဒ္ဓ,-1
75e310ea68853b9c8643977638db889d,,အမျိုးသားလွှတ်တော်,ဧရာဝတီ,ဧရာဝတီ,8,ဦးအောင်သောင်း,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150825_008.jpg,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,1/20/1938,အငြိမ်းစား၊ မူ/အုပ်,တက္ကသိုလ်ဝင်တန်းနှင့် ဆရာဖြစ်အောင်,ဗမာ,ဗုဒ္ဓ,(၉)ရပ်ကွက်,ဦးကြူလှိုင် (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်ခလေးမ(ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,-1
14cf3ef227788db832fe242834680c60,,အမျိုးသားလွှတ်တော်,ကရင်,ကရင်,5,ဦး​စောမာဘယ်,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150826_139.jpg,ကရင်ပြည်သူ့ပါတီ,M,3/20/1938,စစ်မှုထမ်း(အငြိမ်းစား),ဥပစာဝိဇ္ဇာ(ခ),ကရင်,ခရစ်ယာန်,-,ဦးစောရတ္တလာ(ကွယ်လွန်),ကရင်,ခရစ်ယာန်,နော်အက်စတာဗြူ,ကရင်,ခရစ်ယာန်,-1
7d85cebc92899c7377f88ae7e15e1007,,အမျိုးသားလွှတ်တော်,မကွေး,မကွေး,2,ဦးအောင်ကြည်,https://storage.googleapis.com/staticassets/candidate-photos/Scan_B_20150825_259.jpg,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,2/18/1939,မူလတန်းကျောင်းအုပ်(အငြိမ်းစား),ဆယ်တန်း,ဗမာ,ဗုဒ္ဓ,ရွှေဘုံသာရပ်၊ သစ်တပွေရပ်ကွက်,ဦးသာရင်(ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်စိန်တုန်(ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,-1
ac76cd8e65b670266836478096adf23f,,အမျိုးသားလွှတ်တော်,ဧရာဝတီ,ဧရာဝတီ,10,ဦးစောကျော်ထွန်း,0,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,11/5/1939,စာရေးအဆင့်−၂၊ ကျန်းမာရေးဦးစီးဌာန,(၁၀)တန်း အောင်,ကရင်,ခရစ်ယာန်,အမှတ်(၁၂)ရပ်ကွက်၊ဖျာပုံမြို့,ဦးထွန်းစိန်(ကွယ်လွန်),ကရင်,ခရစ်ယာန်,ဒေါ်သိန်းတင်(ကွယ်လွန်),ကရင်,ခရစ်ယာန်,-1
3241d8fbef47ba2d79d564a10ff79e17,,အမျိုးသားလွှတ်တော်,ရခိုင်,ရခိုင်,4,ဦးအောင်ထွန်းညို,https://storage.googleapis.com/staticassets/candidate-photos/Scan_E_20150901_090.jpg,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,11/12/1939,လယ်လုပ် တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီမြို့နယ် ဥက္ကဋ္ဌ ခရိုင်ဥက္ကဋ္ဌ နိုင်ငံရေးငြိမ်း,၇ တန်း,ရခိုင်,ဗုဒ္ဓ,ဘုရားပေါ်ရပ်လော်ကဖူရပ်ကွက်,ဦးမောင်ရွှေလှ (ကွယ်လွန်),ရခိုင်,ဗုဒ္ဓ,ဒေါ်ရွှေအုံး (ကွယ်လွန်),ရခိုင်,ဗုဒ္ဓ,-1
65bd8b7bc7a586f43b88f8265667bec9,,အမျိုးသားလွှတ်တော်,မကွေး,မကွေး,7,ဦးကျော်ဝင်း,https://storage.googleapis.com/staticassets/candidate-photos/Scan_C_20150825_449.jpg,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,M,1/15/1940,ဥယျာဉ်ခြံစိုက်ပျိုးရေး,၁၀-တန်း (ဗဟိုနိုင်ငံရေးသိပ္ပံ/၁၃၊ ဗဟိုနိုင်ငံရေးတက္ကသိုလ်/၈),ဗမာ,ဗုဒ္ဓ,မင်းတုန်းမြို့၊ အမှတ်(၂)ရပ်ကွက်,ဦးအုန်းဖေ (၁၃၀၇-ခုနစ်-ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်ဒွါးဖြူ (၁၃၃၇−ခုနှစ် ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,-1
1c89e4e6a2dc97ce1d833a79c3f39b63,UPMP-01-0026,အမျိုးသားလွှတ်တော်,ပဲခူး,ပဲခူး,9,ပါမောက္ခဒေါက်တာမြဦး,https://storage.googleapis.com/staticassets/candidate-photos/Scan_A_20150818_0112.jpg,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,M,1/24/1940,အမျိုးသားလွှတ်တော်ကိုယ်စားလှယ်,M.B.B.S (Rgn) DR. Med.Sc (Ygn) FRCP (Edin) FRCP (Glas gow)၊ FRCP (London),မြန်မာ,ဗုဒ္ဓ,မင်းကွက်(၃)ရပ်ကွက် ပေါင်းတည်,ဦးဘစိန်(ကွယ်လွန်),မြန်မာ,ဗုဒ္ဓ,ဒေါ်အုန်းရင်(ကွယ်လွန်),မြန်မာ,ဗုဒ္ဓ,-1
