MPID	Name	Name_in_Burmese	Constituency	Region	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year	MotionID	Date_of_Submission	House	Session	Description	Description_in_Burmese	Issue	Purpose	Status	Date_of_Response	Respondant	Respondant_Position
LWMP-01-0426	Colonel Htay Naing	ဗိုလ်မှူးကြီးဌေးနိုင်			Military	Male	Bamar	Buddhism	14-Apr-58		First Pyithu Hluttaw	2010	2015	LWM-01-02-040	27-Sep-11	First Pyithu Hluttaw	Second Regular Session	Limiting the use of word Myanmar in inappropriate places	“မြန်မာဆိုသည့်စကားရပ်ကို တစ်မျိုးသားလုံး၏ အမျိုးဂုဏ်၊ ဇာတိဂုဏ်ကို မြင့်မားစေရန်အလို့ငှာ ရည်ရွယ်ဖော်ညွှန်းသည့် ရေးသားပြုစုပုံနှိပ်ထုတ်ဝေခြင်းဆိုင်ရာကိစ္စရပ်များ၊ နိုင်ငံနှင့် တိုင်းရင်းသားလူမျိုးအားလုံးနှင့် သက်ဆိုင်သော မြင့်မြတ်သည့်နေရာ၊ အသုံးအနှုန်းများတွင်သာ သုံးစွဲခွင့်ပြုရေးနှင့် အမှတ် တံဆိပ်အပါအဝင် အခြားမသင့်လျော်သောနေရာ အသုံးအနှုန်းများတွင်သုံးစွဲခွင့်မပြု စေရေးဥပဒေပြဋ္ဌာန်းပေးနိုင်ရေး”အဆို	Culture	Scrutiny	Approved	28-Sep-11	U Tun Tun Oo	Deputy Attorney-General
	Constitutional Amendment Comittee													CBM-01-11-006	25-Nov-14	First Pyidaungsu Hluttaw	Eleventh Regular Session	Remaining to Perform the Constitutional Amemdment		Politics	Scrutiny	Approved	25-Nov-14	U Nanda Kyaw Sawr	Vice Patron of Union Htulttaw
LWMP-01-0079	Daw Aung San Suu Kyi	​ဒေါ်အောင်ဆန်းစုကြည်	Kaw Hmu Tsp	Yangon	NLD	Female	Bamar	Buddhism	19-Jun-45	Others	First Pyithu Hluttaw	2012	2015	CBM-01-11-010	26-Nov-14	First Pyidaungsu Hluttaw	Eleventh Regular Session	Impliment Bylaw, Rules and Regulations of All Laws from Pyidaungsu Htulttaw		Legislation	Legislation	Approved	26-Nov-14	Dr. Kan Zaw	National Planning and Economic Development Minister
LWMP-01-0079	Daw Aung San Suu Kyi	​ဒေါ်အောင်ဆန်းစုကြည်	Kaw Hmu Tsp	Yangon	NLD	Female	Bamar	Buddhism	19-Jun-45	Others	First Pyithu Hluttaw	2012	2015	LWM-01-05-013	9-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Forming organization to change the Hospital of Yangon		Health	Scrutiny	Approved	9-Nov-12	Dr Pey Thet Khin	Health Minister
LWMP-01-0079	Daw Aung San Suu Kyi	​ဒေါ်အောင်ဆန်းစုကြည်	Kaw Hmu Tsp	Yangon	NLD	Female	Bamar	Buddhism	19-Jun-45	Others	First Pyithu Hluttaw	2012	2015	LWM-01-05-014	9-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Forming organization to change the University of Yangon		Education	Scrutiny	Approved	9-Nov-12	U Ba Shwe	Deputy Education Minister
LWMP-01-0064	Daw Dwe Bu	ဒေါ်ဒွဲဘူ	In Gyanyan Tsp	Kachin	UDP	Female	Kachin	Christianity	26-Mar-62	Law	First Pyithu Hluttaw	2010	2015	LWM-01-02-021	6-Sep-11	First Pyithu Hluttaw	Second Regular Session	Reducing university entry criteria for students from isolated areas	“ဝေးလံခက်ခဲသောတောင်ပေါ်ဒေသများမှကျောင်းသူ၊ ကျောင်းသားများအားပညာရေးကောလိပ်၊ သားဖွားဆရာမနှင့် သူနာပြုအစရှိသည့် သင်တန်းများတွင် ဝင်ခွင့်ရရှိရေးအတွက် သတ်မှတ်ထားသော (၁၀) တန်းရမှတ်ကို လျှော့ပေါ့စဉ်းစားပေးပြီး မိမိဒေသတွင် တာဝန်ထမ်းဆောင်ပါမည်ဟူသော ကတိခံဝန်ချုပ်ဖြင့် ဒေသခံများအား အထူး ဦးစားပေးတက်ရောက်နိုင်ရေးအတွက် ခွင့်ပြုစေနိုင်ရေး” အဆို	Education	Scrutiny	Recorded	8-Sep-11	Dr Mya Aye	Education Minister
LWMP-01-0064	Daw Dwe Bu	ဒေါ်ဒွဲဘူ	In Gyanyan Tsp	Kachin	UDP	Female	Kachin	Christianity	26-Mar-62	Law	First Pyithu Hluttaw	2010	2015	LWM-01-02-031	12-Sep-11	First Pyithu Hluttaw	Second Regular Session	Rehabilitation of former drug addicts	“ မူးယစ်ဆေးဝါးနှင့် စိတ်ကိုပြောင်းလဲ စေသောဆေးဝါးများ တရားမဝင်ရောင်းဝယ်မှုတိုက်ဖျက်ရေးကို အရှိန်အဟုန်မြှင့်တင်ဆောင်ရွက်ပေးရေးနှင့် မူယစ်ဆေးစွဲသူများကိုကယ်တင်ြခင်း၊ စောင့်ရှောက်ခြင်း၊ လူကောင်းသူကောင်း ဘဝသို့ပြန်လည်ရောက်ရှိစေရန်ကူညီထောက်ပံ့ခြင်းလုပ်ငန်းစဉ်များကိုတိုးမြှင့် ဆောင်ရွက်ပေးနိုင်ရေး”အဆို	Social Welfare	Scrutiny	Approved	19-Sep-11	Lt-Gen Ko Ko	Home Minister
LWMP-01-0064	Daw Dwe Bu	ဒေါ်ဒွဲဘူ	In Gyanyan Tsp	Kachin	UDP	Female	Kachin	Christianity	26-Mar-62	Law	First Pyithu Hluttaw	2010	2015	LWM-01-02-052	3-Nov-11	First Pyithu Hluttaw	Second Regular Session	Resolving Kachin conflicts	“ကချင်ပြည်နယ်အတွင်း လက်ရှိဖြစ်ပေါ်နေသော လက်နက်ကိုင်ပဋိပက္ခများကြောင့်ဒေသတွင်းတည်ငြိမ်အေးချမ်းမှုပျက်ပြားပြီးစစ်ဘေးစစ်ဒဏ်မှ တိမ်းရှောင်နေရသောပြည်သူများမိမိတို့နေရပ်သို့ပြန်လည်အခြေပြုရောက်ရှိနေထိုင်ရေးနှင့် ပြည်သူ့ဘဝလုံခြုံစိတ်ချကာထာဝရငြိမ်းချမ်းရေးနှင့်ရေရှည်ဖွံ့ဖြိုးတိုးတက်ရေးအတွက် အပြန်အလှန်ယုံကြည်မှုတည်ဆောက်ပြီး အမြန်ဆုံးညှိနှိုင်းဆွေးနွေးမှုများကြိုးပမ်း အကောင်အထည်ဖော်ပေးရေးအတွက် ဤလွှတ်တော်က တိုက်တွန်းကြောင်း”အဆို	Peace	Scrutiny	Approved	3-Nov-11	Lt-Gen Thein Htay	Border Affairs Minister
LWMP-01-0064	Daw Dwe Bu	ဒေါ်ဒွဲဘူ	In Gyanyan Tsp	Kachin	UDP	Female	Kachin	Christianity	26-Mar-62	Law	First Pyithu Hluttaw	2010	2015	LWM-01-06-002	18-Jan-13	First Pyithu Hluttaw	Sixth Regular Session	To Stop the civic war & Making negotiation		Peace	Scrutiny	Approved
LWMP-01-0236	Daw Khin San Hlaing	ဒေါ်ခင်စန်းလှိုင်	Pale Tsp	Sagaing	NLD	Female	Bamar	Buddhism	16-Oct-56	Business	First Pyithu Hluttaw	2012	2015	LWM-01-05-022	23-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Formation of an independent commission on the Monywa copper mine in Sagaing Division		Civic Rights	Scrutiny	Approved	23-Nov-12	Lt-Gen Wai Lwin	Defence Minister
