MPID	Name	Name_in_Burmese	Constituency	Region	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year	QuestionID	House	Session	Date	Description	Description_in_Burmese	Issue	Respondant	Respondant_Position	Response	Purpose
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-02-281	First Pyithu Hluttaw	Second Regular Session	20-Oct-11	Abandoned farm lands around the Taungthamwn Lake		Agriculture	U Khin Zaw	Deputy Agriculture and Irrigation Minister	Negative	Representation
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-03-026	First Pyithu Hluttaw	Third Regular Session	30-Jan-12	Post-graduate course for doctors		Education	Dr Pe Thet Khin	Health Minister	Negative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-03-094	First Pyithu Hluttaw	Third Regular Session	12-Mar-12	Workshop and seminar for employment of graduates		Education	Dr Mya Aye	Education Minister	Negative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-04-021	First Pyithu Hluttaw	Fourth Regular Session	9-Jul-12	Industrial waste management		Environment	U Win Tun	Environmental Conservation and Forestry Minister	Underway	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-04-066	First Pyithu Hluttaw	Fourth Regular Session	17-Jul-12	Police-related expenditures		Administration	Lt-Gen Kyaw Zan Myint	Deputy Home Minister	Affirmative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-04-071	First Pyithu Hluttaw	Fourth Regular Session	18-Jul-12	Review of rulings by the Supreme Court and the Attorney-General’s Office		Judiciary	U Soe Nyunt	Supreme Court Judge	Affirmative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-04-158	First Pyithu Hluttaw	Fourth Regular Session	5-Sep-12	Opinion on a commentary published in state-run newspapers		Politics	U Ye Htut	Deputy Information Minister	Mixed Answer	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-05-011	First Pyithu Hluttaw	Fifth Regular Session	21-Oct-12	Benefits of animal sanctuaries		Transportation	Dr Pwint Hsan	Deputy Commerce Minister	Negative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-05-029	First Pyithu Hluttaw	Fifth Regular Session	25-Oct-12	Extanding Police Force		Administration	Police Maj-Gen Kyaw Kyaw Tun	Deputy Home Minister	Affirmative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-05-042	First Pyithu Hluttaw	Fifth Regular Session	5-Nov-12	Right to privacy of communication and correspondence		Services	U Thein Tun	Communications and Information Technology Minister	Affirmative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-06-030	First Pyithu Hluttaw	Sixth Regular Session	21-Jan-13			Administration	Police Maj-Gen Kyaw Kyaw Tun	Deputy Home Minister	Mixed Answer	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-06-078	First Pyithu Hluttaw	Sixth Regular Session	30-Jan-13			Education	Dr Win Myint	Deputy Health Minister	Negative	Representation
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-06-102	First Pyithu Hluttaw	Sixth Regular Session	5-Feb-13			Services	U Aung Than Oo	Deputy Electric Power Minister	Negative	Representation
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-06-182	First Pyithu Hluttaw	Sixth Regular Session	14-Mar-13			Judiciary	U Myint Aung	Supreme Court Judge	Affirmative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-06-185	First Pyithu Hluttaw	Sixth Regular Session	15-Mar-13			Administration	U Win Than	Deputy Communications and Information Technology Minister	Affirmative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-07-009	First Pyithu Hluttaw	Seventh Regular Session	25-Jun-13	Drawing the section of act 364		Legislation	Brig. General Kyaw Kyaw Tun	Deputy Home Minister	Negative	Legislation
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-07-065	First Pyithu Hluttaw	Seventh Regular Session	4-Jul-13	Solving Mandalay General Hospital Problems		Health	Dr. Win Myint	Deputy Health Minister	Affirmative	Representation
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-07-088	First Pyithu Hluttaw	Seventh Regular Session	9-Jul-13	Controlling Without Cars		Administration	Brig. General Kyaw Kyaw Tun	Deputy Home Minister	Affirmative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Amarapura Tps	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-08-020	First Pyithu Hluttaw	Eight Regular Session	3-Oct-13	Implementing the gurdian system in Mandalay University		Education	Dr Daw Thein Thein Htay	Deputy Health Minister	Underway	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-08-071	First Pyithu Hluttaw	Eight Regular Session	15-Oct-13	Providing Doctors to Ahmarapura Hospital		Health	Dr. Than Aung	Deputy Health Minister	Affirmative	Representation
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Amarapura Tps	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-08-076	First Pyithu Hluttaw	Eight Regular Session	21-Oct-13	Giving back liscined guns to original owners or inherits controled by SPDC government		Administration	Brig-Gen Kyaw Kyaw Tun	Deputy Hone Minister	Negative	Scrutiny
LWMP-01-0001	U Thein Tun Oo	ဦးသိန်းထွန်းဦး	Ah Mara Pura Tsp	Mandalay	USDP	Male	Bamar	Buddhism	16-Aug-66	Business	First Pyithu Hluttaw	2010	2015	LWQ-01-08-102	First Pyithu Hluttaw	Eight Regular Session	28-Oct-13	Existing Laws n Gambling		Administration	Brig.Gen Kyaw Zan Myint	Deputy Minister	Underway	Scrutiny
