Pyithy Hluttaw (Lower House)					
					
No	State/Region Name	Constituency Name	Winning Candidate Name	Party/Independence	Total Vote Counts
Yagnon Region 					
1	ရန်ကုန်တိုင်းဒေသကြီး	တောင်ဥက္ကလာပ	ဒေါက်တာစောနိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၇၂၉၁
2	ရန်ကုန်တိုင်းဒေသကြီး	ဒဂုံမြို့သစ်(မြောက်ပိုင်း)	ဒေါက်တာခင်မောင်မောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၄၇၆၂
3	ရန်ကုန်တိုင်းဒေသကြီး	ဒဂုံမြို့သစ်(တောင်ပိုင်း)	ဦးအေးနိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၀၁၂၂
4	ရန်ကုန်တိုင်းဒေသကြီး	ကျောက်တန်း	ဒေါ်အေးမြမြမျိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၅၀၆၅
5	ရန်ကုန်တိုင်းဒေသကြီး	တွံတေး	ဦးမြင့်လွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၄၆၆၃
6	ရန်ကုန်တိုင်းဒေသကြီး	ကော့မှူး	ဒေါ်အောင်ဆန်းစုကြည်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၄၆၇၆
Sagaing Region					
7	စစ်ကိုင်းတိုင်းဒေသကြီး	မြင်းမူ	ဦးစိုးစံသက်ထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၃၇၂၄
8	စစ်ကိုင်းတိုင်းဒေသကြီး	မြောင်	ဦးဌေးငွေ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၈၆၆၅
9	စစ်ကိုင်းတိုင်းဒေသကြီး	ဝက်လက်	ဦးမြင့်သိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၆၈၁၉
10	စစ်ကိုင်းတိုင်းဒေသကြီး	ဒီပဲယင်း	ဦးဝင်းမြင့်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၁၄၇၂
