State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
Yagon Region Hluttaw					
1	ရန်ကုန်တိုင်းဒေသကြီး	မင်္ဂလာတောင်ညွန့် (၁)	ဦးလှဌေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၄၃၄၇
2	ရန်ကုန်တိုင်းဒေသကြီး	မင်္ဂလာတောင်ညွန့် (၂)	ဦးရန်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၉၉၄
3	ရန်ကုန်တိုင်းဒေသကြီး	ကိုကိုးကျွန်း(၁)	ဦးတင်ဝင်း	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၉၃၆
4	ရန်ကုန်တိုင်းဒေသကြီး	ကိုကိုးကျွန်း(၂)	ဦးအောင်နိုင်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၂၇၅
5	ရန်ကုန်တိုင်းဒေသကြီး	တိုက်ကြီး (၁)	ဦးတင်ရှိန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၄၁၄၈
6	ရန်ကုန်တိုင်းဒေသကြီး	တိုက်ကြီး (၂)	ဦးလွင်စိုးမင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၁၈၂၉
7	ရန်ကုန်တိုင်းဒေသကြီး	တောင်ဥက္ကလာပ (၁)	ဒေါ်သစ်သစ်မြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၁၀၂
8	ရန်ကုန်တိုင်းဒေသကြီး	တောင်ဥက္ကလာပ (၂)	ဦးမိုးမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၄၃၀၃
9	ရန်ကုန်တိုင်းဒေသကြီး	ဒဂုံမြို့သစ်(မြောက်ပိုင်း) (၁)	ဦးတင်ထွန်းနိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၆၂၇၉
