Amyotha Hluttaw					
					
No.	State/Region Name	Constituency Number	Winning Candidate Name	Party/Independence	Total Vote Counts
Kayah State					
1	ကယားပြည်နယ်	၃	ဦးဘော်ရယ်စိုးဝေ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၁၆၂
2	ကယားပြည်နယ်	၄	ဦးစောစိန်ထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၀၀၃၀
3	ကယားပြည်နယ်	၇	ဦးအောင်ကျော်စိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၄၃၁
4	ကယားပြည်နယ်	၈	ဦးကျော်သန်း	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၁၆၃၆
5	ကယားပြည်နယ်	၉	ဦးစိုးသိန်း	တစ်သီးပုဂ္ဂလ	၁၄၀၆
6	ကယားပြည်နယ်	၁၂	ဦးစိုင်းပန်ဖ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၄၇၃
Chin State					
7	ချင်းပြည်နယ်	၅	ဦးပူဂင်ကမ်းလျန်	ဇိုမီးဒီမိုကရေစီအဖွဲ့ချုပ်	၅၈၈၀
8	ချင်းပြည်နယ်	၆	ဦးကျင့်ခန့်ပေါင်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၅၄၇၄
Mon State					
9	မွန်ပြည်နယ်	၁	ဦးအေးမင်းဟန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၈၃၀၉
10	မွန်ပြည်နယ်	၂	ဒေါ်နွယ်နွယ်အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၅၁၈၁
11	မွန်ပြည်နယ်	၅	ဒေါ်မြတ်သီတာထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၄၃၇၅
12	မွန်ပြည်နယ်	၆	ဦးဖေတင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၀၁၂၆
Yangon Region					
