no,state_region,ST_PCODE,township,TS_PCODE,ward_village,polling_station_number,polling_station_location,voting_ward_village
1,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,ညောင်ဇင်ရပ်ကွက်,1,ညောင်ဇင်(မူလွန်),ညောင်ဇင်
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,,,ဖရူဆိုမြို့နယ်ရဲတပ်ဖွဲ့
2,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,ထီးကူးဆိုရပ်ကွက်,1,ဖရူဆို(အထက),ထီးကူးဆို
3,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,ဒီးဒါးကူးရပ်ကွက်,1,ဒီးဒါးကူး(အမက),ဒီးဒါးကူး
4,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,လောဘူးဒါးရပ်ကွက်,1,လောဘူးဒါး(မူလွန်),လောဘူးဒါး
5,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,မြို့မကျေးရွာအုပ်စု,1,ဆိုလျားကူး(အမက),ထီးကလူဒေါ
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,,,ဆိုလျားကူး
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,2,လောဂျာ (အမက),လောဂျာ
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,,,ထီးသော်ထနီးကူး
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,3,လောခုခူ(အမက),လောခုခူ
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,,,ခေါသမော
6,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,ထီးပေါ်ဆိုကျေးရွာအုပ်စု,1,ထီးပေါ်ဆို(အလက),ထီးပေါ်ဆို
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,,,ဒေါကူးခူ
,ကယားပြည်နယ်,MMR002,ဖရူဆိုမြို့နယ်,MMR002003,,,,ဒေါညေခူ
