township_pcode_idx,township_pcode,name_en,name_mm,region_pcode_idx,region_pcode,am_constituency_number,am_constituency
1001,MMR001001,Myitkyina,မြစ်ကြီးနား,1,MMR001,2,ကချင်ပြည်နယ်
1002,MMR001002,Waingmaw,ဝိုင်းမော်,1,MMR001,3,ကချင်ပြည်နယ်
1003,MMR001003,Injangyang,အင်ဂျန်းယန်,1,MMR001,5,ကချင်ပြည်နယ်
1004,MMR001004,Tanai,တနိုင်း,1,MMR001,4,ကချင်ပြည်နယ်
1005,MMR001005,Chipwi,ချီဖွေ,1,MMR001,5,ကချင်ပြည်နယ်
1006,MMR001006,Tsawlaw,ဆော့လော်,1,MMR001,5,ကချင်ပြည်နယ်
1007,MMR001007,Mohnyin,မိုးညှင်း,1,MMR001,,
1008,MMR001008,Mogaung,မိုးကောင်း,1,MMR001,8,ကချင်ပြည်နယ်
1009,MMR001009,Hpakant,ဖားကန့်,1,MMR001,9,ကချင်ပြည်နယ်
1010,MMR001010,Bhamo,ဗန်းမော်,1,MMR001,10,ကချင်ပြည်နယ်
1011,MMR001011,Shwegu,ရွှေကူ,1,MMR001,12,ကချင်ပြည်နယ်
1012,MMR001012,Momauk,မိုးမောက်,1,MMR001,11,ကချင်ပြည်နယ်
1013,MMR001013,Mansi,မံစီ,1,MMR001,12,ကချင်ပြည်နယ်
1014,MMR001014,Puta-O,ပူတာအို,1,MMR001,1,ကချင်ပြည်နယ်
1015,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,1,MMR001,1,ကချင်ပြည်နယ်
1016,MMR001016,Machanbaw,မချမ်းဘော,1,MMR001,1,ကချင်ပြည်နယ်
1017,MMR001017,Nawngmun,နောင်မွန်း,1,MMR001,1,ကချင်ပြည်နယ်
1018,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,1,MMR001,1,ကချင်ပြည်နယ်
2001,MMR002001,Loikaw,လွိုင်ကော်,2,MMR002,,
2002,MMR002002,Demoso,ဒီမောဆို,2,MMR002,,
2003,MMR002003,Hpruso,ဖရူဆို,2,MMR002,,
2004,MMR002004,Shadaw,ရှားတော,2,MMR002,7,ကယားပြည်နယ်
2005,MMR002005,Bawlakhe,ဘောလခဲ,2,MMR002,,
2006,MMR002006,Hpasawng,ဖားဆောင်း,2,MMR002,,
2007,MMR002007,Mese,မယ်စဲ့,2,MMR002,12,ကယားပြည်နယ်
3001,MMR003001,Hpa-An,ဘားအံ,3,MMR003,,
3002,MMR003002,Hlaingbwe,လှိုင်းဘွဲ့,3,MMR003,,
3003,MMR003003,Hpapun,ဖာပွန်,3,MMR003,,
3004,MMR003004,Thandaunggyi,သံတောင်ကြီး,3,MMR003,7,ကရင်ပြည်နယ်
3005,MMR003005,Myawaddy,မြဝတီ,3,MMR003,8,ကရင်ပြည်နယ်
3006,MMR003006,Kawkareik,ကော့ကရိတ်,3,MMR003,,
3007,MMR003007,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,3,MMR003,,
4001,MMR004001,Falam,ဖလမ်း,4,MMR004,4,ချင်းပြည်နယ်
4002,MMR004002,Hakha,ဟားခါး,4,MMR004,,
4003,MMR004003,Thantlang,ထန်တလန်,4,MMR004,3,ချင်းပြည်နယ်
4004,MMR004004,Tedim,တီးတိန်,4,MMR004,,
4005,MMR004005,Tonzang,တွန်းဇံ,4,MMR004,7,ချင်းပြည်နယ်
4006,MMR004006,Mindat,မင်းတပ်,4,MMR004,8,ချင်းပြည်နယ်
4007,MMR004007,Matupi,မတူပီ,4,MMR004,10,ချင်းပြည်နယ်
4008,MMR004008,Kanpetlet,ကန်ပက်လက်,4,MMR004,9,ချင်းပြည်နယ်
4009,MMR004009,Paletwa,ပလက်ဝ,4,MMR004,,
5001,MMR005001,Sagaing,စစ်ကိုင်း,5,MMR005,1,စစ်ကိုင်းတိုင်းဒေသကြီး
5002,MMR005002,Myinmu,မြင်းမူ,5,MMR005,1,စစ်ကိုင်းတိုင်းဒေသကြီး
5003,MMR005003,Myaung,မြောင်,5,MMR005,1,စစ်ကိုင်းတိုင်းဒေသကြီး
5004,MMR005004,Shwebo,ရွှေဘို,5,MMR005,2,စစ်ကိုင်းတိုင်းဒေသကြီး
5005,MMR005005,Khin-U,ခင်ဦး,5,MMR005,2,စစ်ကိုင်းတိုင်းဒေသကြီး
5006,MMR005006,Wetlet,ဝက်လက်,5,MMR005,2,စစ်ကိုင်းတိုင်းဒေသကြီး
5007,MMR005007,Kanbalu,ကန့်ဘလူ,5,MMR005,3,စစ်ကိုင်းတိုင်းဒေသကြီး
5008,MMR005008,Kyunhla,ကျွန်းလှ,5,MMR005,3,စစ်ကိုင်းတိုင်းဒေသကြီး
5009,MMR005009,Ye-U,ရေဦး,5,MMR005,3,စစ်ကိုင်းတိုင်းဒေသကြီး
5010,MMR005010,Tabayin,ဒီပဲယင်း,5,MMR005,2,စစ်ကိုင်းတိုင်းဒေသကြီး
5011,MMR005011,Taze,တန့်ဆည်,5,MMR005,3,စစ်ကိုင်းတိုင်းဒေသကြီး
5012,MMR005012,Monywa,မုံရွာ,5,MMR005,4,စစ်ကိုင်းတိုင်းဒေသကြီး
5013,MMR005013,Budalin,ဘုတလင်,5,MMR005,4,စစ်ကိုင်းတိုင်းဒေသကြီး
5014,MMR005014,Ayadaw,အရာတော်,5,MMR005,4,စစ်ကိုင်းတိုင်းဒေသကြီး
5015,MMR005015,Chaung-U,ချောင်းဦး,5,MMR005,4,စစ်ကိုင်းတိုင်းဒေသကြီး
5016,MMR005016,Yinmarbin,ယင်းမာပင်,5,MMR005,5,စစ်ကိုင်းတိုင်းဒေသကြီး
5017,MMR005017,Kani,ကနီ,5,MMR005,5,စစ်ကိုင်းတိုင်းဒေသကြီး
5018,MMR005018,Salingyi,ဆားလင်းကြီး,5,MMR005,5,စစ်ကိုင်းတိုင်းဒေသကြီး
5019,MMR005019,Pale,ပုလဲ,5,MMR005,5,စစ်ကိုင်းတိုင်းဒေသကြီး
5020,MMR005020,Katha,ကသာ,5,MMR005,6,စစ်ကိုင်းတိုင်းဒေသကြီး
5021,MMR005021,Indaw,အင်းတော်,5,MMR005,6,စစ်ကိုင်းတိုင်းဒေသကြီး
5022,MMR005022,Tigyaing,ထီးချိုင့်,5,MMR005,6,စစ်ကိုင်းတိုင်းဒေသကြီး
5023,MMR005023,Banmauk,ဗန်းမောက်,5,MMR005,7,စစ်ကိုင်းတိုင်းဒေသကြီး
5024,MMR005024,Kawlin,ကောလင်း,5,MMR005,7,စစ်ကိုင်းတိုင်းဒေသကြီး
5025,MMR005025,Wuntho,ဝန်းသို,5,MMR005,7,စစ်ကိုင်းတိုင်းဒေသကြီး
5026,MMR005026,Pinlebu,ပင်လည်ဘူး,5,MMR005,7,စစ်ကိုင်းတိုင်းဒေသကြီး
5027,MMR005027,Kale,ကလေး,5,MMR005,8,စစ်ကိုင်းတိုင်းဒေသကြီး
5028,MMR005028,Kalewa,ကလေးဝ,5,MMR005,8,စစ်ကိုင်းတိုင်းဒေသကြီး
5029,MMR005029,Mingin,မင်းကင်း,5,MMR005,8,စစ်ကိုင်းတိုင်းဒေသကြီး
5030,MMR005030,Tamu,တမူး,5,MMR005,9,စစ်ကိုင်းတိုင်းဒေသကြီး
5031,MMR005031,Mawlaik,မော်လိုက်,5,MMR005,10,စစ်ကိုင်းတိုင်းဒေသကြီး
5032,MMR005032,Paungbyin,ဖောင်းပြင်,5,MMR005,10,စစ်ကိုင်းတိုင်းဒေသကြီး
5033,MMR005033,Hkamti,ခန္တီး,5,MMR005,11,စစ်ကိုင်းတိုင်းဒေသကြီး
5034,MMR005034,Homalin,ဟုမ္မလင်း,5,MMR005,11,စစ်ကိုင်းတိုင်းဒေသကြီး
5035,MMR005035,Lay Shi,လေရှီး,5,MMR005,12,စစ်ကိုင်းတိုင်းဒေသကြီး
5036,MMR005036,Lahe,လဟယ်,5,MMR005,12,စစ်ကိုင်းတိုင်းဒေသကြီး
5037,MMR005037,Nanyun,နန်းယွန်း,5,MMR005,12,စစ်ကိုင်းတိုင်းဒေသကြီး
6001,MMR006001,Dawei,ထားဝယ်,6,MMR006,1,တနင်္သာရီတိုင်းဒေသကြီး
6002,MMR006002,Launglon,လောင်းလုံ,6,MMR006,2,တနင်္သာရီတိုင်းဒေသကြီး
6003,MMR006003,Thayetchaung,သရက်ချောင်း,6,MMR006,3,တနင်္သာရီတိုင်းဒေသကြီး
6004,MMR006004,Yebyu,ရေဖြူ,6,MMR006,4,တနင်္သာရီတိုင်းဒေသကြီး
6005,MMR006005,Myeik,မြိတ်,6,MMR006,,
6006,MMR006006,Kyunsu,ကျွန်းစု,6,MMR006,,
6007,MMR006007,Palaw,ပုလော,6,MMR006,9,တနင်္သာရီတိုင်းဒေသကြီး
6008,MMR006008,Tanintharyi,တနင်္သာရီ,6,MMR006,10,တနင်္သာရီတိုင်းဒေသကြီး
6009,MMR006009,Kawthoung,ကော့သောင်း,6,MMR006,11,တနင်္သာရီတိုင်းဒေသကြီး
6010,MMR006010,Bokpyin,ဘုတ်ပြင်း,6,MMR006,12,တနင်္သာရီတိုင်းဒေသကြီး
7001,MMR007001,Bago,ပဲခူး,7,MMR007,1,ပဲခူးတိုင်းဒေသကြီး
7002,MMR007002,Thanatpin,သနပ်ပင်,7,MMR007,2,ပဲခူးတိုင်းဒေသကြီး
7003,MMR007003,Kawa,ကဝ,7,MMR007,2,ပဲခူးတိုင်းဒေသကြီး
7004,MMR007004,Waw,ဝေါ,7,MMR007,3,ပဲခူးတိုင်းဒေသကြီး
7005,MMR007005,Nyaunglebin,ညောင်လေးပင်,7,MMR007,4,ပဲခူးတိုင်းဒေသကြီး
7006,MMR007006,Kyauktaga,ကျောက်တံခါး,7,MMR007,4,ပဲခူးတိုင်းဒေသကြီး
7007,MMR007007,Daik-U,ဒိုက်ဦး,7,MMR007,3,ပဲခူးတိုင်းဒေသကြီး
7008,MMR007008,Shwegyin,ရွှေကျင်,7,MMR007,3,ပဲခူးတိုင်းဒေသကြီး
7009,MMR007009,Taungoo,တောင်ငူ,7,MMR007,5,ပဲခူးတိုင်းဒေသကြီး
7010,MMR007010,Yedashe,ရေတာရှည်,7,MMR007,5,ပဲခူးတိုင်းဒေသကြီး
7011,MMR007011,Kyaukkyi,ကျောက်ကြီး,7,MMR007,7,ပဲခူးတိုင်းဒေသကြီး
7012,MMR007012,Phyu,ဖြူး,7,MMR007,7,ပဲခူးတိုင်းဒေသကြီး
7013,MMR007013,Oktwin,အုတ်တွင်း,7,MMR007,6,ပဲခူးတိုင်းဒေသကြီး
7014,MMR007014,Htantabin,ထန်းတပင်,7,MMR007,6,ပဲခူးတိုင်းဒေသကြီး
8001,MMR008001,Pyay,ပြည်,8,MMR008,8,ပဲခူးတိုင်းဒေသကြီး
8002,MMR008002,Paukkhaung,ပေါက်ခေါင်း,8,MMR008,8,ပဲခူးတိုင်းဒေသကြီး
8003,MMR008003,Padaung,ပန်းတောင်း,8,MMR008,8,ပဲခူးတိုင်းဒေသကြီး
8004,MMR008004,Paungde,ပေါင်းတည်,8,MMR008,9,ပဲခူးတိုင်းဒေသကြီး
8005,MMR008005,Thegon,သဲကုန်း,8,MMR008,9,ပဲခူးတိုင်းဒေသကြီး
8006,MMR008006,Shwedaung,ရွှေတောင်,8,MMR008,9,ပဲခူးတိုင်းဒေသကြီး
