am_constituency,st_constituency_number,st_constituency,ward_village_number,ward_village,am_constituency_number,st_constituency_pcode
ကချင်ပြည်နယ်,1,ချီဖွေ,1,ရစ်လောခေါင်ရပ်ကွက်(ချီဖွေမြို့),5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,2,ဥက္ကပ်ရပ်ကွက်(ချီဖွေမြို့),5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,3,ဘာလဲ့ဒမ်ရပ်ကွက်(ချီဖွေမြို့),5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,4,ကန်ပိုင်ယံရပ်ကွက်(ချီဖွေမြို့),5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,5,အမှတ်(1)ရပ်ကွက်(ပန်ဝါမြို့),5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,6,အမှတ်(2)ရပ်ကွက်(ပန်ဝါမြို့),5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,7,အမှတ်(3)ရပ်ကွက်(ပန်ဝါမြို့),5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,8,လိုင်မာယန်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,9,ဂျစ်လိုင်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,10,ရစ်ဂျော်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,11,မောင်ဂုန်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,12,ကျင်ထုံးကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,13,မံစံကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,14,ရှမ်းကျော်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,15,မဂေါင်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,16,ဘန့်လီကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,17,နာမော်ဇွပ်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,18,တမူးကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,19,လောခေါင်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,20,ရုပ်ချောင်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,21,ထောဂေါ့ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,22,လန်ယန်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,23,ဗွီလပ်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,24,ဇန်နောင်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,25,နလောကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,26,မျောမောပါကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,27,လောင်ဖမ့်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,28,မြစ်နော့ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,29,ဖလာကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,30,ဗျော်လီကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,31,မန့်ဒုန့်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ချီဖွေ,32,လန်းဂျောကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,1,ဂမ်ခွန်းကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,2,ထွမ်းရှိန်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,3,နုဇုန်ဘောင်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,4,ချစ်ဂေါကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,5,ထန်းဒုန်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,6,လငေါ်ခေါကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,7,ဆာဒူလောကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,8,ငွါးဖခါးကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,9,ကန်းဖန့်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,10,ဘောမ်မြန်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,11,လဂွေကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,12,ရှီးကျန်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,13,ဂေါ့ယွမ်ကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,14,ဖီမောကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,2,ချီဖွေ,15,ဖရဲကျေးရွာအုပ်စု,5,MMR001005
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,1,အမှတ်(1)ရပ်ကွက်(ခေါင်လန်ဖူးမြို့),1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,2,အမှတ်(2)ရပ်ကွက်(ခေါင်လန်ဖူးမြို့),1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,3,အမှတ်(3)ရပ်ကွက်(ခေါင်လန်ဖူးမြို့),1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,4,အမှတ်(4)ရပ်ကွက်(ခေါင်လန်ဖူးမြို့),1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,5,ထရီဝမ်ကောင်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,6,မန်ကွမ်ဒမ်းကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,7,ခေါ်လာဒါဟိုကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,8,ထလားလော်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,9,ကောင်လိုလပ်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,10,ကာ့ခင်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,11,အကူးကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,12,ဒဟမ်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,13,လဂျာဂါးကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,14,ခင်လွမ်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,15,ဖီဇောကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,16,ထဖုံးကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,17,ဇံယော့ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,18,ဇနင်ထီကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,19,ညီဝမ်ထန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,20,ရပ်မားကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,21,ရှီးလန်ဒမ်းကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,1,ခေါင်လန်ဖူး,22,မရှော့ခူးကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,1,ရမန်ချီကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,2,ချီထုဖန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,3,ဒါလန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,4,လာတားကော်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,5,နမ်ချိန်ကျေးရွာအုပ်စု,1,MMR001018
ကချင်ပြည်နယ်,2,ခေါင်လန်ဖူး,6,ဇီးထန်ကျေးရွာအုပ်စု,1,MMR001018
