state_or_region,constituency_number,constituency_name,ward_village_number,ward_village
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,1,ကူးဆိပ်ရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,2,ဇီးတောရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,3,ပြည်ထောင်စုရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,4,ဇွဲမာန်လွင်ရပ်ကွက် (ဘားအံမြို့)
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,5,ထောင်ဝိရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,6,ကော့လှိုက်ကျေး ရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,7,တရုတ်လှကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,8,ဝင်းကျန်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,9,ကော့တရုတ်ရကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,10,ကော့ထမ္မလိန်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,11,ကော့သင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,12,ကျုံဖဲကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,13,ကျုံစောင့် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,14,ကော့သင်းရှူး  (ထမ္မတိုင်)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,15,ကော့စိန်ဘန်(အောက်)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,16,ကော့ကဒါ ကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,17,ကော့မူးတာကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,18,ကံခရဲကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,19,ခရဲ(ကမ်းနား)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,20,ခယား(အတွင်း)ကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,21,ခယား(အပြင်)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,22,ခလောက်ထောင် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,23,ဂျိုင်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,24,ဇာသပြင်(အနောက်) ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,25,တော်ပုံကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,26,နောင်လုံ(အရှေ့) ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,27,နောင်လုံ(အနောက်)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,28,နောင်ကုန်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,29,နတ်ထိပ်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,30,နတ်ကျွန်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,31,နောင်ပလိန်ကျေးရွာအုပ်စု
