constituency_number,constituency_name,ward_village_number,ward_village
1,ကချင်ပြည်နယ်,0,ပူတာအိုခရိုင် တစ်ခုလုံး
2,ကချင်ပြည်နယ်,0,မြစ်ကြီးနားမြို့နယ် တစ်ခုလုံး
3,ကချင်ပြည်နယ်,0,ဝိုင်းမော်မြို့နယ် တစ်ခုလုံး
4,ကချင်ပြည်နယ်,0,တနိုင်းမြို့နယ် တစ်ခုလုံး
5,ကချင်ပြည်နယ်,0,ချီဖွေမြို့နယ်
5,ကချင်ပြည်နယ်,0,ဆော့လော်မြို့နယ်
5,ကချင်ပြည်နယ်,0,အင်ဂျန်းယန်မြို့နယ်
6,ကချင်ပြည်နယ်,1,မိုးညှင်းမြို့နယ်အတွင်းရှိ  နန့်ခါရပ်ကွက်(မိုးညှင်းမြို့)
6,ကချင်ပြည်နယ်,2,မြို့မရပ်ကွက်(မိုးညှင်းမြို့)
6,ကချင်ပြည်နယ်,3,အုတ်ကျင်းရပ်ကွက် (မိုးညှင်း မြို့)
6,ကချင်ပြည်နယ်,4,အရှေ့စုရပ်ကွက်(မိုးညှင်းမြို့)
6,ကချင်ပြည်နယ်,5,အောင်သပြေ ရပ်ကွက်(မိုးညှင်းမြို့)
6,ကချင်ပြည်နယ်,6,ပင်လုံ ကျေးရွာအုပ်စု
6,ကချင်ပြည်နယ်,7,မော်ဟန် ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,8,ညောင်ကိုင်း ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,9,ကာတူ ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,10,ဆယ်မိုင်ရွာသစ် ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,11,နန့်ပုတ် ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,12,ပင်းဟဲကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,13,ရွာသစ်ကုန်းကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,14,အင်ကြင်းကုန်း ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,15,ဘီလူး ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,16,ညောင်ကုန်း ကျေးရွာအုပ်စု
6,ကချင်ပြည်နယ်,17,ဟဲလုံ ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,18,နန်းမား ကျေးရွာအုပ်စု
6,ကချင်ပြည်နယ်,19,နမ့်စော်လော်ကျေးရွာအုပ်စု
6,ကချင်ပြည်နယ်,20,အင်းကုန်း ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,21,ညောင်ပင်သာကျေးရွာအုပ်စု
6,ကချင်ပြည်နယ်,22,တောင်အင်း ကျေးရွာ အုပ်စု
6,ကချင်ပြည်နယ်,23,လယ်မီးကျေးရွာ အုပ်စု
7,ကချင်ပြည်နယ်,1,မိုးညှင်းမြို့နယ်အတွင်းရှိ  မြဇေယျာရပ်ကွက်(ဟိုပင်မြို့)
7,ကချင်ပြည်နယ်,2,မြသီတာရပ်ကွက်(ဟိုပင်မြို့)
7,ကချင်ပြည်နယ်,3,မြို့မတောင် ရပ်ကွက်  (ဟိုပင်မြို့)
7,ကချင်ပြည်နယ်,4,မြို့မမြောက်ရပ်ကွက်(ဟိုပင်မြို့)
7,ကချင်ပြည်နယ်,5,နန့်မွန်း ကျေးရွာ အုပ်စု
7,ကချင်ပြည်နယ်,6,လုံးတုံ ကျေးရွာ အုပ်စု
7,ကချင်ပြည်နယ်,7,မမုန်ကိုင် ကျေးရွာ အုပ်စု
7,ကချင်ပြည်နယ်,8,လွဲမွန် ကျေးရွာ အုပ်စု
7,ကချင်ပြည်နယ်,9,ညောင်ပင် ကျေးရွာ အုပ်စု
7,ကချင်ပြည်နယ်,10,လုံးစန့် ကျေးရွာ အုပ်စု
