candidate_id	house	state	constituency_name	constituency_number	full_name	photo_id	party	gender	birthdate	occupation	education	nationality	religion	ward_village	voter_list_number	father	father_nationality	father_religion	mother	mother_nationality	mother_religion
a6b744478e542b9b6239419dbd2d961e	ပြည်သူ့လွှတ်တော်	ရှမ်းပြည်နယ်	ကျိုင်းတုံမဲဆန္ဒနယ်	0	ဦးစိုင်းဟောင်ခမ်း	2284	ရှမ်းပြည်နယ်အရှေ့ပိုင်းဖွံ့ဖြိုးတိုးတက်ရေးဒီမိုကရက်တစ်ပါတီ	M	4/1/1929	အငြိမ်းစား၊ ကုန်သွယ်ရေးဝန်ထမ်း။	(၉)တန်းအောင်၊ ၁၉၄၇ခုနှစ်။	ဂုံရှမ်း	ဗုဒ္ဓ	အမှတ်(၂)	0	ဦးနွမ် (ကွယ်လွန်)	ဂုံရှမ်း	ဗုဒ္ဓ	ဒေါ်နန်းကောင်ခမ်း (ကွယ်လွန်)	ဂုံရှမ်း	ဗုဒ္ဓ
5c87b2a4839019802e9507e4ec627b7e	ပြည်သူ့လွှတ်တော်	ကရင်ပြည်နယ်	ဘားအံမဲဆန္ဒနယ်	0	ဦးသာတင်	2615	မွန်အမျိုးသားပါတီ	M	11/7/1930	လယ်ယာသားငါး	အလယ်တန်းပညာ	မွန်	ဗုဒ္ဓ	ကျုံဖဲရွာ	1534	ဦးဘုတ္တနု ၁၉၄၈-ကွယ်လွန်	မွန်	ဗုဒ္ဓ	ဒေါ်ချစ်ရီ    ၂၀၀၉ ကွယ်လွန်	မွန်	ဗုဒ္ဓ
7abd75a22042fe8e3faf931d710949fe	ပြည်သူ့လွှတ်တော်	ရန်ကုန်တိုင်းဒေသကြီး	သင်္ဃန်းကျွန်းမဲဆန္ဒနယ်	0	ဦးအေးကြည်	126	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	6/15/1932	ပ−အရာခံဗိုလ်(ငြိမ်း)၊ မ.ပ.က အတွင်းရေးမှူး(ငြိမ်း)	နဝမတန်း	ဗမာ	ဗုဒ္ဓ	(၂၄)ရပ်ကွက်၊ သုဝဏ္ဏ	0	ဦးစံဦး(ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ	​ဒေါ်ရင်(ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ
3436e52cca7c0463ace6d77e58c945ea	ပြည်သူ့လွှတ်တော်	ရန်ကုန်တိုင်းဒေသကြီး	စမ်းချောင်းမဲဆန္ဒနယ်	0	ဦးသုဝေ	503	ဒီမိုကရက်တစ်ပါတီ(မြန်မာ)	M	12/31/1932	နိုင်ငံရေး	ဝိဇ္ဇာဘွဲ့	မြန်မာ	ဗုဒ္ဓ	စမ်းချောင်းမြို့နယ်	0	ဦးဘအုန်း(ကွယ်လွန်)	မြန်မာ	ဗုဒ္ဓ	ဒေါ်လှတင်(ကွယ်လွန်)	မြန်မာ	ဗုဒ္ဓ
641e9c08bb9c091cd7755ad0f61a6988	ပြည်သူ့လွှတ်တော်	ရန်ကုန်တိုင်းဒေသကြီး	ထန်းတပင်မဲဆန္ဒနယ်	0	ဒေါက်တာစောအောင်ထွန်းကြည်	3201	ကရင်ပြည်သူ့ပါတီ	M	7/15/1934	အငြိမ်းစားဝန်ထမ်း	B.Sc၊ B.Ed၊ M.min၊ D.D	ကရင်	ခရစ်ယာန်	နံ့သာကုန်းရပ်ကွက်	2553	ဦးထွန်းပရိုက်(စ်) (ကွယ်လွန်)	ကရင်	ခရစ်ယာန်	ဒေါ်ကြည်ကြည် (ကွယ်လွန်)	ဗမာ	ခရစ်ယာန်
b70539d32681c87ee694cba88bd3cde7	ပြည်သူ့လွှတ်တော်	မွန်ပြည်နယ်	မော်လမြိုင်မဲဆန္ဒနယ်	0	ဦးနိုင်သောင်းညွန့်	1771	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	M	7/31/1934	လယ်လုပ်	၁၀တန်း	မွန်	ဗုဒ္ဓ	ဘိုကုန်းရပ်၊မော်လမြိုင်မြို့	1273	ဦးဘိုးသက်	မွန်	ဗုဒ္ဓ	ဒေါ်ဂျုံ	မွန်	ဗုဒ္ဓ
25ae855fadf25bf56a2f79374faa98f5	ပြည်သူ့လွှတ်တော်	ရခိုင်ပြည်နယ်	သံတွဲမဲဆန္ဒနယ်	0	ဦးသိန်းစိုး(ခ)ဦးမောင်နီ	7715	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	1/28/1935	ဒုတိယရဲမှူးကြီး(ငြိမ်း)	တက္ကသိုလ်ဝင်တန်း(၁၀)တန်းဖြေ / ကျ	ရခိုင်	ဗုဒ္ဓ	အမှတ်(၃)ရပ်ကွက်	0	ဦးမောင်ကျော် (ကွယ်လွန်)	ရခိုင်	ဗုဒ္ဓ	ဒေါ်အေးမြ (ကွယ်လွန်)	ရခိုင်	ဗုဒ္ဓ
5e389b9ee5d0002f01a33c605eeeacb2	ပြည်သူ့လွှတ်တော်	ရန်ကုန်တိုင်းဒေသကြီး	ပန်းဘဲတန်းမဲဆန္ဒနယ်	0	ဦးမောင်မောင်ကြီး	514	တစ်သီးပုဂ္ဂလ	M	12/20/1935	စီမံကိန်း အကြံပေး/ consultant	ဥပစာဝါဏိဇ္ဇ ဝိဇ္ဇာ(ခ)	ရခိုင်	အစ္စလာမ်	-	0	ဦးသိန်းမောင်	ရခိုင်	အစ္စလာမ်	ဒေါ်မဇံ	ရခိုင်	အစ္စလာမ်
1b37b5d4babe471518c78acef07d3cf2	ပြည်သူ့လွှတ်တော်	ကရင်ပြည်နယ်	ဘားအံမဲဆန္ဒနယ်	0	ဦးစောဟန်သိန်း	2619	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	5/15/1936	အစိုးရအလယ်တန်းကျောင်းအုပ်(အငြိမ်းစား)	အစိုးရအလယ်တန်းကျောင်းအုပ် (အငြိမ်းစား)	ကရင်/ဗမာ 	ဗုဒ္ဓ	(၄) ရပ်ကွက်၊ ဇီ:တောရပ်၊ဘားအံမြို့	0	ဦးသာညွန့်(ကွယ်လွန်)	ကရင်/ဗမာ	ဗုဒ္ဓ	ဒေါ်စောဦး(ကွယ်လွန်)	ကရင်/ဗမာ	ဗုဒ္ဓ
0706b744f15cfa08f1d11fef5ba8cce1	ပြည်သူ့လွှတ်တော်	ရန်ကုန်တိုင်းဒေသကြီး	သာကေတမဲဆန္ဒနယ်	0	ဦးသောင်းအိ	131	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	9/30/1936	မြို့နယ်ဦးစီးဌာနမှူး(ငြိမ်း)	ဝိဇ္ဇာဘွဲ့(မြန်မာစာ)	ဗမာ	ဗုဒ္ဓ	ထူပါရုံ(၁)ရပ်ကွက်	180	ဦးဘမြိုင်(ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ	ဒေါ်သိန်းရှင်	ဗမာ	ဗုဒ္ဓ
