candidate_id	house	state	constituency_name	constituency_number	full_name	photo_id	party	gender	birthdate	occupation	education	nationality	religion	ward_village	voter_list_number	father	father_nationality	father_religion	mother	mother_nationality	mother_religion
9deb3621b2ef8fd61e95a05b470b0579	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ရှမ်းပြည်နယ်	မောက်မယ်မဲဆန္ဒနယ်	1	ဦးသြတ	5723	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	M	9/28/1930	ရွှေပန်းထိမ်	(၆) တန်း	ရှမ်း	ဗုဒ္ဓ	ဈေးတန်းရပ်ကွက်	193	ဦးလုံးစိုင်း(ကွယ်လွန်)	ရှမ်း	ဗုဒ္ဓ	မယ်ထောက်နန်း(ကွယ်လွန်)	ရှမ်း	ဗုဒ္ဓ
5c45199ad90e432af3eae9bf2d59cf5b	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ဧရာဝတီတိုင်းဒေသကြီး	ဟင်္သာတမဲဆန္ဒနယ်	2	ဦးခင်မောင်သောင်း	2041	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	10/16/1930	ငှက်ဖျားရောဂါမှူး (ငြိမ်း)၊ အတွင်းရေးမှူး၊ မြို့နယ် (တစည)	၁၀တန်းအောင်	ဗမာ	ဗုဒ္ဓ	-	0	ဦးထွန်းစိန် (ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ	ဒေါ်စိုးရင် (ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ
1522d65a596318b61a50ed5554d8c4d3	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	မကွေးတိုင်းဒေသကြီး	စလင်းမဲဆန္ဒနယ်	1	ဦးစန်းလွင်	3759	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	5/8/1934	ရွှေပန်းထိန်လုပ်ငန်းပိုင်ရှင်	သတ္တမတန်း	ဗမာ	ဗုဒ္ဓ	ဆင်ဖြူကျွန်း (၂)	436	ဦးအောင်မှတ် (ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ	ဒေါ်လှမင်း (ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ
92278f2cad8e2038269ecbcdc346cc14	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ရန်ကုန်တိုင်းဒေသကြီး	ဒေါပုံမဲဆန္ဒနယ်	2	ဦးသောင်းစိန်	151	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	5/8/1935	အငြိမ်းစား(သ/မ ဝန်ကြီးဌာန) ဒေါပုံ(၁)တိုင်းဒေသကြီးလွှတ်တော်ကိုယ်စားလှယ်	တတိယနှစ်(ဥပဒေ)	ဗမာ	ဗုဒ္ဓ	မြို့သစ်ရပ်ကွက်	395	ဦးလူးမျိုး(ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ	ဒေါ်ဝယ် (၁၉၈၁ ခုနှစ်ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ
a8b523d3338fc8233f69488dfc62ee31	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ရခိုင်ပြည်နယ်	စစ်တွေမဲဆန္ဒနယ်	2	ဦးအောင်သန်းထွန်း	7793	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	10/10/1935	အထက်တန်းရှေ့နေ	၁၀တန်းအောင်/H.G.Pအောင်	ရခိုင်	ဗုဒ္ဓ	တရားသိစုရပ်	28	ဦးကျော်မင်း(ကွယ်လွန်)	ရခိုင်	ဗုဒ္ဓ	ဒေါ်အေးဖြူ(ကွယ်လွန်)	ရခိုင်	ဗုဒ္ဓ
fe18eb55b7ad361633291a13976237a9	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ရခိုင်ပြည်နယ်	ကျောက်တော်မဲဆန္ဒနယ်	1	ဦးကျော်ဇောလှ	7516	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	M	12/7/1935	အငြိမ်းစား၊ ကုန်သည်	တက္ကသိုလ်ဝင်တန်း	မြို	ခရစ်ယာန်	−	0	ဦးတင်ယေ(ခ)ဦးပုမောက်ကြီး	မြို	ဗုဒ္ဓ	ဒေါ်လဝင်း(ခ)ဒေါ်မသာဖြူ	မြို	ဗုဒ္ဓ
2b2ec4fd113b2a1238f9fd22edaa931a	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ရခိုင်ပြည်နယ်	မင်းပြားမဲဆန္ဒနယ်	1	ဦးမောင်ကျော်ဇံ	7695	တစ်သီးပုဂ္ဂလ	M	12/16/1935	ကျောင်းဆရာ (ငြိမ်း)	တက္ကသိုလ်ဝင်တန်း	ရခိုင်	ဗုဒ္ဓ	မင်းဂံအကွက် (၁၂)	4839	ဦးအောင်ကျော်ဇော (ကွယ်လွန်)	ရခိုင်	ဗုဒ္ဓ	ဒေါ်စံဦးဖြူ     (ကွယ်လွန်)	ရခိုင်	ဗုဒ္ဓ
28f08d5dd0b20d7cd8144db58caf2a85	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ဧရာဝတီတိုင်းဒေသကြီး	ဟင်္သာတမဲဆန္ဒနယ်	1	ဦးလှရှိန်	2057	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	2/26/1936	လယ်	သတ္တမတန်း	ဗမာ	ဗုဒ္ဓ	တောရှည်ရွာ၊ ကညင်ကောက်	241	ဦးညိမ်း	ဗမာ	ဗုဒ္ဓ	ဒေါ်မယ်မာ	ဗမာ	ဗုဒ္ဓ
c9d998f3a6c69b0a15c35f8ccf8fb5de	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ကယားပြည်နယ်	မယ်စဲမဲဆန္ဒနယ်	1	ဦးစိုင်းအိုက်အေး	4314	ရှမ်းတိုင်းရင်းသားများဒီမိုကရက်တစ်ပါတီ	M	6/7/1936	အငြိမ်းစားမြို့ပိုင်	ဥပစာအပိုင်း(က)	ရှမ်း	ဗုဒ္ဓ	မယ်စဲ့ကျေးရွာအုပ်စု	0	ဦးအုံးဖေ(ကွယ်လွန်)	ရှမ်း	ဗုဒ္ဓ	ဒေါ်နိုင်းမိုင်ငင်းမီးလှ(ကွယ်လွန်)	ရှမ်း	ဗုဒ္ဓ
88c729f85d59f4bbde0264a224e42ae5	တိုင်းဒေသကြီး/ပြည်နယ်လွှတ်တော်	ရန်ကုန်တိုင်းဒေသကြီး	ဒေါပုံမဲဆန္ဒနယ်	1	ဦးသိန်းထွန်း	150	တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ	M	2/19/1937	ကျောင်းဆရာ(ငြိမ်း)	B.A (Bot)	ဗမာ	ဗုဒ္ဓ	ဗမာအေးရပ်ကွက်	916	ဦးအောင်ပေါ်(ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ	ဒေါ်အုံး(ကွယ်လွန်)	ဗမာ	ဗုဒ္ဓ
