MPID	Name	Name_in_Burmese	Constituency	ConstituencyBurmese	Region	RegionBurmese	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year
LWMP-01-0014	U Mya Thein	ဦးမြသိန်း	Bogalay Tsp	ဘိုကလေးမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	21-Jul-49	Others	First Pyithu Hluttaw	2010	2015
LWMP-01-0025	U Kyi Tint	ဦးကြည်တင့်	Da Nu Byu Tsp	ဓနုဖြူမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	19-Jul-50	Business	First Pyithu Hluttaw	2010	2015
LWMP-01-0035	U Tin Win	ဦးတင်ဝင်း	Daydaye Tsp	ဒေးဒရဲမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	17-Jul-42	Agriculture	First Pyithu Hluttaw	2010	2015
LWMP-01-0040	U Saw James	ဦးစောဂျိမ်း	Eain Mae Tsp	အိမ်မဲမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Kayin	Christianity	13-Mar-40	Civil Service	First Pyithu Hluttaw	2010	2015
LWMP-01-0047	U Htay Oo	ဦးဌေးဦး	Hin Tha Ta Tsp	ဟင်္သာတမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	20-Jan-50	Military	First Pyithu Hluttaw	2010	2015
LWMP-01-0065	U Maung Maung Soe	ဦးမောင်မောင်စိုး	Ingapu Tsp	အင်္ဂပူမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	21-Oct-52	Civil Service	First Pyithu Hluttaw	2010	2015
LWMP-01-0074	U Kyaw Win	ဦးကျော်ဝင်း	Kan-Gyi-Htaunt Tsp	ကန်ကြီးထောင့်မြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	2-May-55	Education	First Pyithu Hluttaw	2010	2015
LWMP-01-0095	U Than Win	ဦးသန်းဝင်း	Kyaik Lat Tsp	ကျိုက်လတ်မြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	27-Feb-59	Civil Service	First Pyithu Hluttaw	2010	2015
LWMP-01-0099	Dr Tin Maung Kyaing	ဒေါက်တာတင်မောင်ကြိုင်	Kyan Khin Tsp	ကြံခင်းမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	23-Dec-50	Medicines	First Pyithu Hluttaw	2010	2015
LWMP-01-0110	U Thein Tun	ဦးသိန်းထွန်း	Kyaunggon Tsp	ကျောင်းကုန်းမြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	24-Aug-56	Education	First Pyithu Hluttaw	2010	2015
LWMP-01-0113	Dr Soe Thura	ဒေါက်တာစိုးသူရ	Kyone Pyaw Tsp	ကျုံပျော်မြို့နယ်	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	6-Aug-51	Medicines	First Pyithu Hluttaw	2010	2015
