MPID	Name	Name_in_Burmese	Constituency	ConstituencyNumber	Region	RegionBurmese	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year
UPMP-01-0001	U Soe Han Linn	ဦးစိုးဟန်လင်း	Ayeyawady Region, Constituency (1)	1	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	4-Apr-50	Others	First Amyotha Hluttaw	2010	2015
UPMP-01-0002	U Thein Swe (a) Maugn Min Soe	ဦးသိန်းဆွေ (ခ) မောင်မင်းစိုး	Ayeyawady Region, Constituency (10)	10	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	NLD	Male	Bamar	Buddhism	29-Sep-67	Others	First Amyotha Hluttaw	2012	2015
UPMP-01-0003	Dr Myat Myat Ohn Khin	ဒေါက်တာမြတ်မြတ်အုန်းခင်	Ayeyawady Region, Constituency (10)	10	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Female	N/A	N/A	N/A		First Amyotha Hluttaw	2010	2011
UPMP-01-0004	U Maung Maung Aye	ဦးမောင်မောင်အေး	Ayeyawady Region, Constituency (11)	11	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	8-Feb-59	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0005	U Hlaing Oo	ဦးလှိုင်ဦး	Ayeyawady Region, Constituency (12)	12	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	9-Jun-51	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0006	U Soe Win	ဦးစိုးဝင်း	Ayeyawady Region, Constituency (2)	2	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	24-Mar-53	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0007	U Nyan Linn	ဦးဉာဏ်လင်း	Ayeyawady Region, Constituency (3)	3	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	15-Feb-55	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0008	U Nyut Hlaing	ဦးညွန့်လှိုင်	Ayeyawady Region, Constituency (4)	4	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	12-Jul-49	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0009	Dr. Htay Win	ဒေါက်တာဌေးဝင်း	Ayeyawady Region, Constituency (5)	5	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	15-Oct-55	Medicines	First Amyotha Hluttaw	2010	2015
UPMP-01-0010	U Khin Maung Yi	ဦးခင်မောင်ရီ	Ayeyawady Region, Constituency (6)	6	Ayeyawady	ဧရာဝတီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	29-Aug-49	Civil Service	First Amyotha Hluttaw	2010	2015
