Pyithy Hluttaw (Lower House)					
					
No	State/Region Name	Constituency Name	Winning Candidate Name	Party/Independence	Total Vote Counts
Yagnon Region 					
1	ရန်ကုန်တိုင်းဒေသကြီး	လသာ	ဒေါ်ခင်မို့မို့အောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၉၀၅
2	ရန်ကုန်တိုင်းဒေသကြီး	ဆိပ်ကမ်း	ဦးတင်မောင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၂၆
3	ရန်ကုန်တိုင်းဒေသကြီး	အင်းစိန်	ဦးမောင်မောင်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၉၇၀၂
4	ရန်ကုန်တိုင်းဒေသကြီး	ရန်ကင်း	ဒေါ်ဇင်မာအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၃၉၂
5	ရန်ကုန်တိုင်းဒေသကြီး	သာကေတ	ဒေါက်တာဝေဖြိုးအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၀၅၂၃
6	ရန်ကုန်တိုင်းဒေသကြီး	ဒေါပုံ	ဦးဌေးဝင်းအောင်(ခ)ပြုံးချို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၂၇၆၉
7	ရန်ကုန်တိုင်းဒေသကြီး	တာမွေ	ဦးဝင်းမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၀၄၀၈
8	ရန်ကုန်တိုင်းဒေသကြီး	ပုဇွန်တောင်	ဦးမြင့်လွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၁၂၉
9	ရန်ကုန်တိုင်းဒေသကြီး	အလုံ	ဦးရဲလွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၂၂၆
10	ရန်ကုန်တိုင်းဒေသကြီး	လမ်းမတော်	ဦးခင်မောင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၇၁၇၇
