State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
Yagon Region Hluttaw					
1	ရန်ကုန်တိုင်းဒေသကြီး	အင်းစိန် (၁)	ဦးသာအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၃၉၉၈
2	ရန်ကုန်တိုင်းဒေသကြီး	အင်းစိန် (၂)	ဦးဝေဖြိုးဟန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၇၆၇၅
3	ရန်ကုန်တိုင်းဒေသကြီး	ရန်ကင်း (၁)	ဒေါ်သီတာ(ခ) ဒေါ်သီတာမောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၃၈၆၂
4	ရန်ကုန်တိုင်းဒေသကြီး	ရန်ကင်း (၂)	ဦးသိန်းဇော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၃၁၈၃
5	ရန်ကုန်တိုင်းဒေသကြီး	သာကေတ (၁)	ဦးနိုင်ငံလင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၃၁၃၁
6	ရန်ကုန်တိုင်းဒေသကြီး	သာကေတ (၂)	ဒေါ်သက်ထားနွယ်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၈၃၂၁
7	ရန်ကုန်တိုင်းဒေသကြီး	ဒေါပုံ (၁)	ဦးဟန်စိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၀၄၃၁
8	ရန်ကုန်တိုင်းဒေသကြီး	ဒေါပုံ (၂)	ဦးသန့်ဇင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၂၀၀၈
9	ရန်ကုန်တိုင်းဒေသကြီး	တာမွေ (၁)	ဦးလှသိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၉၃၁၇
10	ရန်ကုန်တိုင်းဒေသကြီး	တာမွေ (၂)	ဦးသိန်းမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၀၉၇၁
11	ရန်ကုန်တိုင်းဒေသကြီး	ပုဇွန်တောင် (၁)	ဦးခင်မောင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၃၁၁
12	ရန်ကုန်တိုင်းဒေသကြီး	ပုဇွန်တောင် (၂)	ဦးတင့်လွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၈၂၀
13	ရန်ကုန်တိုင်းဒေသကြီး	အလုံ (၁)	ဒေါ်ယဉ်ယဉ်မြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၂၉၈
